PLAYER,Pts_sum,Pts_mean,years_played,Mat_sum,Mat_mean,Wkts_sum,Wkts_mean,Dots_sum,Dots_mean,4s_sum,4s_mean,6s_sum,6s_mean,Catches_sum,Catches_mean,Stumpings_sum,Stumpings_mean,position,median_season_ratings,avg_season_ratings,base_price
AnureetSingh,223.0,44.6,5,23,4.6,18,3.6,139,27.8,2,0.4,1,0.2,5,1.0,0,0.0,BWL,2.4740740740740743,22.038439100082712,0.3
AshishNehra,1018.0,127.25,8,75,9.375,87,10.875,660,82.5,3,0.375,1,0.125,17,2.125,0,0.0,BWL,48.163912579957355,61.781004859338765,1.0
AshishReddy,250.5,62.625,4,31,7.75,17,4.25,76,19.0,16,4.0,15,3.75,9,2.25,0,0.0,BWL,9.70668482578595,14.503245513668169,0.3
AshokDinda,883.5,88.35,10,78,7.8,68,6.8,623,62.3,2,0.2,0,0.0,7,0.7,0,0.0,BWL,38.542386671832624,40.47337464715141,0.75
AxarPatel,1137.5,189.58333333333331,6,82,13.666666666666664,71,11.833333333333336,564,94.0,47,7.833333333333332,35,5.833333333333332,34,5.666666666666668,0,0.0,AR,83.7125,72.64103126405759,1.5
AzharMahmood,463.5,154.5,3,23,7.666666666666668,29,9.666666666666666,199,66.33333333333333,39,13.0,13,4.333333333333333,8,2.6666666666666665,0,0.0,AR,94.5,63.93636363636363,1.5
BarinderSran,243.0,48.6,5,24,4.8,18,3.6,170,34.0,0,0.0,0,0.0,4,0.8,0,0.0,BWL,2.470921985815603,24.93238037114296,0.4
BenCutting,242.0,48.4,5,21,4.2,10,2.0,78,15.6,15,3.0,19,3.8,10,2.0,0,0.0,AR,6.097087378640777,8.025629372054315,0.3
BenStokes,537.0,179.0,3,34,11.333333333333336,26,8.666666666666666,216,72.0,43,14.333333333333336,25,8.333333333333334,14,4.666666666666667,0,0.0,AR,48.3125,61.92824074074073,1.0
BharatChipli,103.0,25.75,4,23,5.75,0,0.0,1,0.25,28,7.0,7,1.75,3,0.75,0,0.0,BAT,2.4678597718071407,9.07688854223432,0.3
BhuvneshwarKumar,1710.0,190.0,9,117,13.0,133,14.777777777777779,1124,124.88888888888887,17,1.8888888888888888,3,0.3333333333333333,27,3.0,0,0.0,BWL,120.66666666666667,96.89816552847725,2.0
BipulSharma,267.0,38.142857142857146,7,33,4.714285714285714,17,2.4285714285714284,131,18.714285714285715,11,1.5714285714285714,9,1.2857142857142858,7,1.0,0,0.0,BWL,9.686956521739132,9.687493009956786,0.3
BradHodge,645.0,92.14285714285714,7,66,9.428571428571429,17,2.4285714285714284,75,10.714285714285714,122,17.428571428571427,43,6.142857142857142,22,3.1428571428571432,0,0.0,BAT,48.11764705882353,39.8380504520042,1.0
BradHogg,252.0,63.0,4,21,5.25,23,5.75,159,39.75,1,0.25,0,0.0,4,1.0,0,0.0,BWL,22.917638965327463,24.108564880235217,0.5
BrendonMcCullum,1295.0,117.72727272727272,11,109,9.909090909090908,0,0.0,0,0.0,293,26.63636363636364,130,11.818181818181818,37,3.363636363636364,6,0.5454545454545454,WK,68.22727272727273,63.307209211524714,1.0
BrettLee,534.5,89.08333333333331,6,38,6.333333333333332,25,4.166666666666667,374,62.33333333333334,8,1.3333333333333333,8,1.3333333333333333,10,1.6666666666666667,0,0.0,BWL,26.5688829787234,32.825565467286474,0.5
CMGautam,81.0,27.0,3,13,4.333333333333333,0,0.0,0,0.0,17,5.666666666666668,6,2.0,3,1.0,4,1.3333333333333333,WK,2.4699300699300704,7.282457532888569,0.3
CameronWhite,382.5,76.5,5,47,9.4,1,0.2,8,1.6,76,15.2,36,7.2,22,4.4,0,0.0,BAT,16.895238095238096,39.506920111938214,0.75
ChamindaVaas,206.5,68.83333333333333,3,13,4.333333333333333,18,6.0,128,42.66666666666666,2,0.6666666666666666,3,1.0,0,0.0,0,0.0,BWL,16.913636363636364,27.327825877825877,0.4
CharlLangeveldt,118.0,39.333333333333336,3,7,2.333333333333333,13,4.333333333333333,69,23.0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,BWL,16.88849557522124,14.49422954568712,0.4
CheteshwarPujara,154.0,30.8,5,30,6.0,0,0.0,0,0.0,50,10.0,4,0.8,6,1.2,0,0.0,BAT,9.68403361344538,8.241894902124063,0.3
ChrisGayle,2369.0,215.3636363636364,11,125,11.363636363636365,18,1.6363636363636365,180,16.363636363636363,369,33.54545454545455,326,29.63636363636364,25,2.272727272727273,0,0.0,BAT,120.47619047619048,96.09684008577361,2.0
ChrisJordan,114.0,38.0,3,11,3.6666666666666665,12,4.0,62,20.666666666666668,0,0.0,0,0.0,4,1.3333333333333333,0,0.0,BWL,2.474626865671642,13.702802542099347,0.3
ChrisLynn,565.5,94.25,6,41,6.833333333333332,0,0.0,0,0.0,128,21.33333333333333,63,10.5,10,1.6666666666666667,0,0.0,BAT,44.96396802623489,55.94428800612223,1.0
ChrisMorris,994.0,165.66666666666666,6,61,10.166666666666666,69,11.5,498,83.0,37,6.166666666666668,27,4.5,27,4.5,0,0.0,AR,79.82925278219398,66.81667556304605,1.0
