POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings,team_name,nationality,year
94,ChrisMorris,61.0,4,3,31,3,2,2,0,DD,Overseas,2018
95,LiamPlunkett,61.0,7,4,42,0,0,2,0,DD,Overseas,2018
96,WriddhimanSaha,61.0,11,0,0,17,1,5,1,SRH,Indian,2018
97,MarcusStoinis,59.5,7,3,15,6,4,2,0,KXIP,Overseas,2018
98,KieronPollard,59.5,9,0,0,10,7,4,0,MI,Overseas,2018
99,AlexHales,58.5,6,0,0,13,6,2,0,SRH,Overseas,2018
100,JasonRoy,57.0,5,0,0,9,7,4,0,DD,Overseas,2018
101,AaronFinch,53.0,10,0,0,6,8,4,0,KXIP,Overseas,2018
102,SamBillings,50.0,10,0,0,8,5,5,0,CSK,Overseas,2018
103,SandeepLamichhane,47.5,3,5,30,0,0,0,0,DD,Overseas,2018
104,MohammedShami,46.0,4,3,28,1,0,2,0,DD,Indian,2018
105,TomCurran,46.0,5,6,15,3,0,1,0,KKR,Overseas,2018
106,MayankAgarwal,45.0,11,0,0,9,5,2,0,KXIP,Indian,2018
107,DanChristian,39.5,4,4,22,0,1,0,0,DD,Overseas,2018
108,BasilThampi,39.5,4,5,17,0,0,2,0,SRH,Indian,2018
109,KarnSharma,37.5,6,4,16,0,0,3,0,CSK,Indian,2018
110,ColinMunro,36.5,5,0,0,7,4,2,0,DD,Overseas,2018
111,ShahbazNadeem,34.0,6,3,21,0,0,1,0,DD,Indian,2018
112,HeinrichKlaasen,33.5,4,0,0,5,1,3,4,RR,Overseas,2018
113,DavidWilley,32.0,3,2,20,0,0,2,0,CSK,Overseas,2018
114,ShreevatsGoswami,31.0,6,0,0,6,1,5,0,SRH,Indian,2018
115,MuruganAshwin,30.5,2,3,20,0,0,0,0,RCB,Indian,2018
116,CoreyAnderson,30.0,3,3,16,0,1,0,0,RCB,Overseas,2018
117,DeepakHooda,29.0,9,0,6,2,3,3,0,SRH,Indian,2018
118,AbhishekSharma,27.5,3,0,0,3,5,1,0,DD,Indian,2018
119,JavonSearles,27.5,4,2,7,0,1,4,0,KKR,Overseas,2018
120,KMAsif,26.5,2,3,16,0,0,0,0,CSK,Indian,2018
121,GautamGambhir,26.0,6,0,0,8,1,1,0,DD,Indian,2018
122,SarfarazKhan,26.0,7,0,0,7,1,2,0,RCB,Indian,2018
123,KulwantKhejroliya,25.0,3,2,18,0,0,0,0,RCB,Indian,2018
124,YuvrajSingh,24.5,8,0,0,6,2,1,0,KXIP,Indian,2018
125,ManojTiwary,23.5,5,0,0,4,1,4,0,KXIP,Indian,2018
126,MohammadNabi,23.0,2,1,12,3,0,0,0,SRH,Overseas,2018
127,VinayKumar,22.5,2,2,8,1,0,2,0,KKR,Indian,2018
128,JPDuminy,22.0,6,0,6,3,1,2,0,MI,Overseas,2018
129,RinkuSingh,20.0,4,0,0,4,0,4,0,KKR,Indian,2018
130,MananVohra,19.0,4,0,0,2,4,0,0,RCB,Indian,2018
131,StuartBinny,16.5,7,0,2,2,2,1,0,RR,Indian,2018
132,DavidMiller,14.5,3,0,0,3,2,0,0,KXIP,Overseas,2018
133,PawanNegi,12.5,2,1,9,0,0,0,0,RCB,Indian,2018
134,ChrisJordan,11.0,1,0,11,0,0,0,0,SRH,Overseas,2018
135,AnureetSingh,10.0,3,1,4,0,0,1,0,RR,Indian,2018
136,KedarJadhav,9.5,1,0,0,1,2,0,0,CSK,Indian,2018
137,MarkWood,8.5,1,0,6,0,0,1,0,CSK,Overseas,2018
138,JuniorDala,7.0,1,0,7,0,0,0,0,DD,Overseas,2018
139,KhaleelAhmed,7.0,1,0,7,0,0,0,0,SRH,Indian,2018
140,AkilaDananjaya,6.0,1,0,6,0,0,0,0,MI,Overseas,2018
141,AkshdeepNath,5.0,1,0,0,1,0,1,0,KXIP,Indian,2018
142,PradeepSangwan,5.0,1,0,5,0,0,0,0,MI,Indian,2018
143,PrashantChopra,5.0,1,0,0,2,0,0,0,RR,Indian,2018
144,MahipalLomror,4.5,2,0,2,1,0,0,0,RR,Indian,2018
145,DhruvShorey,3.5,1,0,0,0,1,0,0,CSK,Indian,2018
146,MuraliVijay,3.5,1,0,0,0,1,0,0,CSK,Indian,2018
147,AnkitSharma,1.0,1,0,1,0,0,0,0,RR,Indian,2018
148,NamanOjha,0.0,1,0,0,0,0,0,0,DD,Indian,2018
149,RickyBhui,0.0,1,0,0,0,0,0,0,SRH,Indian,2018
1,AndreRussell,369.0,14,11,61,31,52,4,0,KKR,Overseas,2019
2,HardikPandya,342.0,16,14,94,28,29,11,0,MI,Indian,2019
3,DeepakChahar,274.5,17,22,190,1,0,2,0,CSK,Indian,2019
4,ImranTahir,255.0,17,26,149,0,0,6,0,CSK,Overseas,2019
5,QuintondeKock,247.5,16,0,0,45,25,17,2,MI,Overseas,2019
6,RashidKhan,247.5,15,17,166,2,2,4,0,SRH,Overseas,2019
7,RishabhPant,247.0,16,0,0,37,27,18,6,DC,Indian,2019
8,JaspritBumrah,240.5,16,19,169,0,0,2,0,MI,Indian,2019
9,RavindraJadeja,234.5,16,15,128,7,4,9,0,CSK,Indian,2019
10,ChrisGayle,231.5,13,0,0,45,34,0,0,KXIP,Overseas,2019
11,KLRahul,227.5,14,0,0,49,25,7,0,KXIP,Indian,2019
12,BhuvneshwarKumar,226.0,15,13,168,1,0,4,0,SRH,Indian,2019
13,DavidWarner,221.0,12,0,0,57,21,2,0,SRH,Overseas,2019
14,KagisoRabada,219.0,12,25,113,0,1,6,0,DC,Overseas,2019
15,ShreyasGopal,213.0,14,20,107,8,1,5,0,RR,Indian,2019
16,ShikharDhawan,211.0,16,0,0,64,11,5,0,DC,Indian,2019
17,KrunalPandya,211.0,16,12,94,18,5,5,0,MI,Indian,2019
18,JonnyBairstow,210.5,10,0,0,48,18,9,2,SRH,Overseas,2019
19,SunilNarine,205.0,12,10,96,17,9,0,0,KKR,Overseas,2019
20,AxarPatel,203.0,14,10,110,10,3,9,0,DC,Indian,2019
21,MohammedShami,198.0,14,19,119,0,0,5,0,KXIP,Indian,2019
22,JofraArcher,191.0,11,11,121,4,4,3,0,RR,Overseas,2019
23,ShaneWatson,190.0,17,0,0,42,20,6,0,CSK,Overseas,2019
24,YuzvendraChahal,187.5,14,18,117,0,0,3,0,RCB,Indian,2019
25,NavdeepSaini,187.0,13,11,141,0,0,3,0,RCB,Indian,2019
26,MoeenAli,186.0,11,6,63,16,17,1,0,RCB,Overseas,2019
27,ABdeVilliers,183.5,13,0,0,31,26,6,0,RCB,Overseas,2019
28,HarbhajanSingh,183.0,11,16,117,0,0,4,0,CSK,Indian,2019
29,RahulChahar,183.0,13,13,125,2,0,3,0,MI,Indian,2019
30,ChrisLynn,182.0,13,0,0,41,22,1,0,KKR,Overseas,2019
31,RavichandranAshwin,180.5,14,15,100,3,3,4,0,KXIP,Indian,2019
32,IshantSharma,176.0,13,13,122,1,1,1,0,DC,Indian,2019
33,MSDhoni,175.5,15,0,0,22,23,11,5,CSK,Indian,2019
34,RohitSharma,175.0,15,0,0,52,10,4,0,MI,Indian,2019
35,ParthivPatel,175.0,14,0,0,48,10,6,2,RCB,Indian,2019
36,NitishRana,174.0,14,3,15,27,21,3,0,KKR,Indian,2019
37,ViratKohli,173.0,14,0,0,46,13,5,0,RCB,Indian,2019
38,FafduPlessis,172.5,12,0,0,36,15,12,0,CSK,Overseas,2019
39,ShreyasIyer,171.5,16,0,0,41,14,8,0,DC,Indian,2019
40,SuryakumarYadav,170.0,16,0,0,45,10,9,0,MI,Indian,2019
41,JosButtler,164.0,8,0,0,38,14,8,0,RR,Overseas,2019
42,SureshRaina,162.5,17,0,1,45,9,7,0,CSK,Indian,2019
43,AjinkyaRahane,156.5,14,0,0,45,9,5,0,RR,Indian,2019
44,MohammadNabi,156.5,8,8,69,8,7,6,0,SRH,Overseas,2019
45,KhaleelAhmed,153.5,9,19,87,0,0,0,0,SRH,Indian,2019
46,PiyushChawla,151.5,13,10,87,4,2,5,0,KKR,Indian,2019
47,DwayneBravo,150.5,12,11,74,6,3,5,0,CSK,Overseas,2019
48,LasithMalinga,149.5,12,16,91,0,0,1,0,MI,Overseas,2019
49,PrithviShaw,149.0,16,0,0,45,9,2,0,DC,Indian,2019
50,SamCurran,143.0,9,10,60,13,3,2,0,KXIP,Overseas,2019
51,UmeshYadav,137.0,11,8,88,3,1,4,0,RCB,Indian,2019
52,ChrisMorris,133.0,9,13,68,1,2,4,0,DC,Overseas,2019
53,KieronPollard,132.0,16,0,0,14,22,8,0,MI,Overseas,2019
54,MayankAgarwal,131.5,13,0,0,26,14,7,0,KXIP,Indian,2019
55,AmitMishra,129.0,11,11,83,2,0,1,0,DC,Indian,2019
56,SandeepSharma,129.0,11,12,82,1,0,1,0,SRH,Indian,2019
57,SanjuSamson,128.0,12,0,0,28,13,4,1,RR,Indian,2019
58,ManishPandey,123.5,12,0,0,34,6,7,0,SRH,Indian,2019
59,DineshKarthik,121.5,14,0,0,22,14,7,0,KKR,Indian,2019
60,RobinUthappa,115.0,12,0,0,28,10,4,0,KKR,Indian,2019
61,PrasidhKrishna,114.0,11,4,95,0,0,2,0,KKR,Indian,2019
62,MarcusStoinis,114.0,10,2,32,14,10,2,0,RCB,Overseas,2019
63,DhawalKulkarni,113.0,10,6,77,1,0,5,0,RR,Indian,2019
64,VijayShankar,112.0,15,1,14,11,12,10,0,SRH,Indian,2019
65,ShardulThakur,111.5,10,8,65,1,1,5,0,CSK,Indian,2019
66,ShubmanGill,105.0,14,0,0,21,10,7,0,KKR,Indian,2019
67,KeemoPaul,104.0,8,9,54,1,1,5,0,DC,Overseas,2019
68,JaydevUnadkat,103.0,11,10,58,0,0,4,0,RR,Indian,2019
69,MohammedSiraj,98.5,9,7,69,0,0,2,0,RCB,Indian,2019
70,RiyanParag,97.5,7,2,18,17,5,5,0,RR,Indian,2019
71,SteveSmith,96.5,12,0,0,30,4,3,0,RR,Overseas,2019
72,BenStokes,93.5,9,6,31,8,4,3,0,RR,Overseas,2019
73,AmbatiRayudu,89.5,17,0,0,20,7,6,0,CSK,Indian,2019
74,DavidMiller,89.5,10,0,0,19,7,7,0,KXIP,Overseas,2019
75,MuruganAshwin,84.0,10,5,59,0,0,3,0,KXIP,Indian,2019
76,SandeepLamichhane,80.0,6,8,47,0,0,2,0,DC,Overseas,2019
77,SiddarthKaul,79.5,7,6,56,0,0,1,0,SRH,Indian,2019
78,KuldeepYadav,78.0,9,4,54,1,0,3,0,KKR,Indian,2019
79,NicholasPooran,76.5,7,0,0,10,14,1,0,KXIP,Overseas,2019
80,HarryGurney,75.5,8,7,51,0,0,0,0,KKR,Overseas,2019
81,HardusViljoen,74.0,6,7,47,0,0,1,0,KXIP,Overseas,2019
82,JasonBehrendorff,71.5,5,5,54,0,0,0,0,MI,Overseas,2019
83,TrentBoult,70.0,5,5,44,0,1,2,0,DC,Overseas,2019
84,ColinIngram,70.0,12,0,0,20,5,1,0,DC,Overseas,2019
85,KedarJadhav,68.0,14,0,0,19,3,4,0,CSK,Indian,2019
86,MitchellSantner,64.0,4,4,37,0,3,1,0,CSK,Overseas,2019
87,SarfarazKhan,61.5,8,0,0,19,4,0,0,KXIP,Indian,2019
88,MitchellMcClenaghan,60.5,5,3,45,2,0,0,0,MI,Overseas,2019
89,SherfaneRutherford,53.5,7,1,8,2,7,5,0,DC,Overseas,2019
90,AlzarriJoseph,53.5,3,6,25,2,0,1,0,MI,Overseas,2019
91,KaneWilliamson,52.5,9,0,0,12,5,2,0,SRH,Overseas,2019
92,MandeepSingh,50.0,13,0,1,10,4,4,0,KXIP,Indian,2019
93,MujeebUrRahman,50.0,5,3,37,0,0,1,0,KXIP,Overseas,2019
94,RahulTewatia,49.5,5,2,19,2,1,6,0,DC,Indian,2019
95,WriddhimanSaha,48.5,5,0,0,13,1,4,1,SRH,Indian,2019
96,AnkitRajpoot,48.0,4,3,35,0,0,1,0,KXIP,Indian,2019
97,KrishnappaGowtham,47.5,7,1,38,1,1,0,0,RR,Indian,2019
98,RahulTripathi,47.0,8,0,0,13,2,3,0,RR,Indian,2019
99,AndrewTye,45.5,6,3,30,0,0,2,0,KXIP,Overseas,2019
100,LiamLivingstone,45.5,4,0,3,6,5,4,0,RR,Overseas,2019
101,PawanNegi,45.5,7,3,25,1,0,3,0,RCB,Indian,2019
102,DeepakHooda,45.5,11,1,1,5,1,10,0,SRH,Indian,2019
103,VarunAaron,44.5,5,4,28,0,0,1,0,RR,Indian,2019
104,StuartBinny,43.0,8,1,13,5,4,0,0,RR,Indian,2019
105,OshaneThomas,42.0,4,5,22,0,0,1,0,RR,Overseas,2019
106,ShimronHetmyer,42.0,5,0,0,4,7,3,0,RCB,Overseas,2019
107,WashingtonSundar,40.0,3,4,21,0,0,2,0,RCB,Indian,2019
108,SandeepWarrier,39.5,3,2,30,0,0,1,0,KKR,Indian,2019
109,IshanKishan,39.0,7,0,0,8,4,2,0,MI,Indian,2019
110,YuvrajSingh,38.5,4,0,0,7,6,0,0,MI,Indian,2019
111,LockieFerguson,37.0,5,2,30,0,0,0,0,KKR,Overseas,2019
112,GurkeeratMannSingh,37.0,3,0,0,11,2,1,0,RCB,Indian,2019
113,MartinGuptill,37.0,3,0,0,4,7,1,0,SRH,Overseas,2019
114,ColinMunro,36.5,4,0,0,9,4,0,0,DC,Overseas,2019
115,DaleSteyn,34.0,2,4,20,0,0,0,0,RCB,Overseas,2019
116,ArshdeepSingh,30.5,3,3,20,0,0,0,0,KXIP,Indian,2019
117,TimSouthee,30.0,3,1,19,0,0,3,0,RCB,Overseas,2019
118,IshSodhi,29.0,2,4,15,0,0,0,0,RR,Overseas,2019
119,ShakibAlHasan,29.0,3,2,22,0,0,0,0,SRH,Overseas,2019
120,JayantYadav,25.5,2,1,17,0,0,2,0,MI,Indian,2019
121,EvinLewis,24.5,3,0,0,4,2,3,0,MI,Overseas,2019
122,ScottKuggeleijn,24.0,2,2,17,0,0,0,0,CSK,Overseas,2019
123,HarshalPatel,22.0,2,2,15,0,0,0,0,DC,Indian,2019
124,AkshdeepNath,22.0,8,0,0,5,2,1,0,RCB,Indian,2019
125,ColindeGrandhomme,21.5,4,0,2,4,2,1,0,RCB,Overseas,2019
126,MuraliVijay,21.0,2,0,0,6,1,1,0,CSK,Indian,2019
127,BasilThampi,21.0,3,0,21,0,0,0,0,SRH,Indian,2019
128,ShivamDube,18.5,4,0,3,1,3,1,0,RCB,Indian,2019
129,JagadeeshaSuchith,18.0,1,2,11,0,0,0,0,DC,Indian,2019
130,MayankMarkande,17.0,3,1,11,1,0,0,0,MI,Indian,2019
131,ShahbazNadeem,17.0,3,2,10,0,0,0,0,SRH,Indian,2019
132,HarpreetBrar,15.5,2,0,7,2,1,0,0,KXIP,Indian,2019
133,KulwantKhejroliya,13.5,2,1,10,0,0,0,0,RCB,Indian,2019
134,AveshKhan,12.0,1,0,7,1,0,1,0,DC,Indian,2019
135,RinkuSingh,12.0,5,0,0,1,2,1,0,KKR,Indian,2019
136,MohitSharma,11.5,1,1,8,0,0,0,0,CSK,Indian,2019
137,VarunChakravarthy,11.5,1,1,8,0,0,0,0,KXIP,Indian,2019
138,PrithviRaj,11.5,2,1,8,0,0,0,0,KKR,Indian,2019
139,BenCutting,11.5,3,1,2,1,1,0,0,MI,Overseas,2019
140,RasikhSalam,10.5,1,0,8,0,0,1,0,MI,Indian,2019
141,AbhishekSharma,9.5,3,1,1,1,0,1,0,SRH,Indian,2019
142,YusufPathan,9.5,10,0,1,1,1,1,0,SRH,Indian,2019
143,SimranSingh,8.5,1,0,0,1,1,1,0,KXIP,Indian,2019
144,CarlosBrathwaite,8.5,2,0,6,1,0,0,0,KKR,Overseas,2019
145,KarnSharma,7.5,1,1,4,0,0,0,0,CSK,Indian,2019
146,AnukulRoy,7.5,1,1,4,0,0,0,0,MI,Indian,2019
147,MahipalLomror,7.5,2,0,0,2,0,1,0,RR,Indian,2019
148,BarinderSran,7.0,2,0,7,0,0,0,0,MI,Indian,2019
149,PrayasRayBarman,7.0,1,0,2,2,0,0,0,RCB,Indian,2019
150,SudhesanMidhun,6.5,1,0,4,0,0,1,0,RR,Indian,2019
151,SiddheshLad,6.0,1,0,0,1,1,0,0,MI,Indian,2019
152,KCCariappa,4.5,1,0,1,0,1,0,0,KKR,Indian,2019
153,SamBillings,2.5,1,0,0,0,0,1,0,CSK,Overseas,2019
154,NikhilNaik,2.5,1,0,0,1,0,0,0,KKR,Indian,2019
155,DhruvShorey,0.0,1,0,0,0,0,0,0,CSK,Indian,2019
156,HanumaVihari,0.0,2,0,0,0,0,0,0,DC,Indian,2019
157,KarunNair,0.0,1,0,0,0,0,0,0,KXIP,Indian,2019
158,JoeDenly,0.0,1,0,0,0,0,0,0,KKR,Overseas,2019
159,PrashantChopra,0.0,1,0,0,0,0,0,0,RR,Indian,2019
160,AshtonTurner,0.0,4,0,0,0,0,0,0,RR,Overseas,2019
161,HeinrichKlaasen,0.0,3,0,0,0,0,0,0,RCB,Overseas,2019
162,RickyBhui,0.0,1,0,0,0,0,0,0,SRH,Indian,2019
